iter	Passed	Remaining
0	197	98644
1	242	60496
2	277	46021
3	337	41788
4	377	37348
5	425	35029
6	486	34235
7	541	33279
8	609	33238
9	657	32219
10	719	31967
11	796	32387
12	868	32547
13	895	31089
14	1000	32351
15	1063	32165
16	1098	31210
17	1145	30678
18	1188	30078
19	1229	29511
20	1276	29115
21	1329	28880
22	1375	28522
23	1410	27978
24	1438	27335
25	1461	26646
26	1509	26438
27	1537	25924
28	1565	25425
29	1588	24879
30	1617	24476
31	1645	24063
32	1669	23622
33	1689	23157
34	1713	22771
35	1742	22455
36	1764	22086
37	1789	21755
38	1811	21410
39	1835	21113
40	1872	20962
41	1934	21099
42	1973	20971
43	2041	21155
44	2090	21135
45	2134	21065
46	2157	20798
47	2184	20574
48	2208	20325
49	2243	20193
50	2270	19986
51	2295	19776
52	2316	19539
53	2348	19393
54	2370	19178
55	2397	19010
56	2424	18846
57	2449	18663
58	2469	18461
59	2524	18510
60	2562	18441
61	2594	18326
62	2629	18238
63	2676	18232
64	2713	18160
65	2744	18044
66	2772	17919
67	2793	17748
68	2821	17622
69	2852	17521
70	2876	17382
71	2905	17271
72	2932	17154
73	2956	17018
74	2998	16991
75	3021	16858
76	3073	16886
77	3108	16820
78	3148	16776
79	3183	16715
80	3250	16814
81	3293	16788
82	3331	16735
83	3378	16730
84	3408	16642
85	3432	16524
86	3458	16420
87	3490	16341
88	3514	16228
89	3558	16212
90	3590	16135
91	3614	16028
92	3637	15919
93	3661	15814
94	3684	15707
95	3704	15590
96	3730	15497
97	3751	15390
98	3785	15334
99	3820	15283
100	3851	15214
101	3886	15163
102	3932	15156
103	3979	15154
104	4007	15075
105	4033	14991
106	4052	14884
107	4113	14929
108	4142	14858
109	4170	14786
110	4204	14733
111	4231	14659
112	4269	14622
113	4309	14590
114	4346	14552
115	4381	14505
116	4424	14484
117	4456	14425
118	4501	14412
119	4539	14374
120	4571	14320
121	4625	14332
122	4655	14269
123	4681	14196
124	4706	14119
125	4731	14044
126	4753	13960
127	4783	13900
128	4810	13835
129	4835	13763
130	4865	13705
131	4893	13643
132	4916	13566
133	4949	13517
134	4978	13459
135	5017	13428
136	5045	13369
137	5066	13290
138	5090	13220
139	5129	13190
140	5190	13214
141	5239	13210
142	5273	13165
143	5296	13094
144	5323	13033
145	5343	12956
146	5372	12902
147	5402	12849
148	5437	12808
149	5468	12760
150	5509	12732
151	5539	12682
152	5583	12664
153	5612	12610
154	5653	12583
155	5685	12536
156	5709	12474
157	5736	12415
158	5781	12399
159	5825	12379
160	5863	12345
161	5892	12294
162	5928	12257
163	5956	12202
164	5984	12150
165	6072	12217
166	6131	12226
167	6209	12272
168	6244	12229
169	6273	12178
170	6300	12122
171	6337	12084
172	6390	12079
173	6422	12032
174	6448	11975
175	6477	11924
176	6500	11861
177	6534	11821
178	6576	11793
179	6613	11757
180	6674	11762
181	6710	11724
182	6739	11675
183	6765	11619
184	6800	11579
185	6833	11536
186	6868	11497
187	6910	11468
188	6944	11426
189	6983	11393
190	7013	11346
191	7047	11305
192	7071	11249
193	7096	11192
194	7142	11170
195	7170	11120
196	7218	11102
197	7243	11048
198	7271	10998
199	7294	10941
200	7321	10891
201	7353	10848
202	7382	10800
203	7413	10757
204	7441	10707
205	7469	10660
206	7508	10628
207	7545	10593
208	7587	10564
209	7618	10520
210	7651	10479
211	7685	10440
212	7743	10433
213	7781	10399
214	7818	10364
215	7846	10317
216	7884	10282
217	7911	10233
218	7942	10191
219	7978	10154
